país,2020,2021,2022,2023,2024,2025,Crescimento 2020-2021,Crescimento 2021-2022,Crescimento 2022-2023,Crescimento 2023-2024,Crescimento 2024-2025,Média do Crescimento,Ranking de crescimento,Faixa de crescimento,Participação 2020,Participação 2025,Tendência de Participação,Crescimento Bruto,Ranking de Crescimento Bruto
Afghanistan,"$20,136.00","$14,278.00","$14,501.00","$17,248.00","$17,248.00","$17,248.00",-29.09%,1.56%,18.94%,0.00%,0.00%,-1.72,177,Baixo,0.02%,0.02%,→ Estável,"$-2,888",192
Albania,"$15,271.00","$18,086.00","$19,185.00","$23,388.00","$27,259.00","$28,372.00",18.43%,6.08%,21.91%,16.55%,4.08%,13.41,17,Alto,0.02%,0.02%,→ Estável,"$13,101",153
Algeria,"$164,774.00","$185,850.00","$225,709.00","$247,789.00","$264,913.00","$268,885.00",12.79%,21.45%,9.78%,6.91%,1.50%,10.49,39,Alto,0.19%,0.24%,↑ Cresceu,"$104,111",168
Andorra,"$2,885.00","$3,325.00","$3,376.00","$3,786.00","$4,038.00","$4,035.00",15.25%,1.53%,12.14%,6.66%,-0.07%,7.1,94,Médio,0.00%,0.00%,→ Estável,"$1,150",182
Angola,"$66,521.00","$84,375.00","$142,442.00","$109,764.00","$115,946.00","$113,343.00",26.84%,68.82%,-22.94%,5.63%,-2.25%,15.22,11,Alto,0.08%,0.10%,↑ Cresceu,"$46,822",58
Antigua and Barbuda,"$1,412.00","$1,602.00","$1,867.00","$2,006.00","$2,225.00","$2,373.00",13.46%,16.54%,7.45%,10.92%,6.65%,11.0,30,Alto,0.00%,0.00%,→ Estável,$961,2
Argentina,"$385,218.00","$486,040.00","$632,318.00","$645,511.00","$632,145.00","$683,533.00",26.17%,30.10%,2.09%,-2.07%,8.13%,12.88,19,Alto,0.45%,0.60%,↑ Cresceu,"$298,315",104
Armenia,"$12,642.00","$13,879.00","$19,514.00","$24,086.00","$25,533.00","$26,258.00",9.78%,40.60%,23.43%,6.01%,2.84%,16.53,8,Alto,0.01%,0.02%,↑ Cresceu,"$13,616",150
Aruba,"$2,486.00","$2,929.00","$3,279.00","$3,649.00","$3,952.00","$4,100.00",17.82%,11.95%,11.28%,8.30%,3.74%,10.62,37,Alto,0.00%,0.00%,→ Estável,"$1,614",176
Australia,"$1,362,613.00","$1,655,843.00","$1,725,461.00","$1,742,461.00","$1,796,805.00","$1,771,681.00",21.52%,4.20%,0.99%,3.12%,-1.40%,5.69,129,Médio,1.59%,1.56%,↓ Caiu,"$409,068",68
Austria,"$434,050.00","$480,786.00","$472,339.00","$512,509.00","$521,269.00","$534,301.00",10.77%,-1.76%,8.50%,1.71%,2.50%,4.34,153,Baixo,0.51%,0.47%,↓ Caiu,"$100,251",169
Azerbaijan,"$42,693.00","$54,825.00","$78,807.00","$72,428.00","$74,316.00","$78,870.00",28.42%,43.74%,-8.09%,2.61%,6.13%,14.56,14,Alto,0.05%,0.07%,↑ Cresceu,"$36,177",85
Bahamas,"$9,958.00","$11,369.00","$13,136.00","$14,338.00","$14,761.00","$15,178.00",14.17%,15.54%,9.15%,2.95%,2.83%,8.93,58,Médio,0.01%,0.01%,→ Estável,"$5,220",54
Bahrain,"$35,838.00","$40,840.00","$46,458.00","$46,192.00","$46,943.00","$47,829.00",13.96%,13.76%,-0.57%,1.63%,1.89%,6.13,118,Médio,0.04%,0.04%,→ Estável,"$11,991",162
Bangladesh,"$373,902.00","$416,265.00","$460,201.00","$451,534.00","$451,096.00","$467,218.00",11.33%,10.55%,-1.88%,-0.10%,3.57%,4.7,149,Baixo,0.44%,0.41%,↓ Caiu,"$93,316",6
Barbados,"$5,168.00","$5,275.00","$6,257.00","$6,721.00","$7,167.00","$7,552.00",2.07%,18.62%,7.42%,6.64%,5.37%,8.02,73,Médio,0.01%,0.01%,→ Estável,"$2,384",124
Belarus,"$61,312.00","$68,207.00","$73,735.00","$71,792.00","$71,180.00","$71,561.00",11.25%,8.10%,-2.64%,-0.85%,0.54%,3.28,165,Baixo,0.07%,0.06%,↓ Caiu,"$10,249",171
Belgium,"$529,269.00","$598,892.00","$593,906.00","$644,968.00","$664,965.00","$684,864.00",13.15%,-0.83%,8.60%,3.10%,2.99%,5.4,134,Médio,0.62%,0.60%,↓ Caiu,"$155,595",138
Belize,"$2,043.00","$2,421.00","$2,847.00","$3,067.00","$3,427.00","$3,611.00",18.50%,17.60%,7.73%,11.74%,5.37%,12.19,23,Alto,0.00%,0.00%,→ Estável,"$1,568",178
Benin,"$15,674.00","$17,699.00","$17,439.00","$19,679.00","$21,249.00","$22,236.00",12.92%,-1.47%,12.84%,7.98%,4.64%,7.38,88,Médio,0.02%,0.02%,→ Estável,"$6,562",39
Bhutan,"$2,586.00","$2,623.00","$2,869.00","$2,923.00","$3,092.00","$3,422.00",1.43%,9.38%,1.88%,5.78%,10.67%,5.83,126,Médio,0.00%,0.00%,→ Estável,$836,14
Bolivia,"$36,897.00","$40,701.00","$44,329.00","$45,464.00","$48,404.00","$56,339.00",10.31%,8.91%,2.56%,6.47%,16.39%,8.93,58,Médio,0.04%,0.05%,↑ Cresceu,"$19,442",129
Bosnia and Herzegovina,"$20,226.00","$23,673.00","$24,535.00","$27,592.00","$28,795.00","$28,807.00",17.04%,3.64%,12.46%,4.36%,0.04%,7.51,84,Médio,0.02%,0.03%,↑ Cresceu,"$8,581",18
Botswana,"$14,930.00","$18,750.00","$20,321.00","$19,411.00","$19,356.00","$19,400.00",25.59%,8.38%,-4.48%,-0.28%,0.23%,5.89,124,Médio,0.02%,0.02%,→ Estável,"$4,470",71
Brazil,"$1,476,092.00","$1,670,650.00","$1,951,849.00","$2,191,137.00","$2,171,337.00","$2,125,958.00",13.18%,16.83%,12.26%,-0.90%,-2.09%,7.86,77,Médio,1.72%,1.87%,↑ Cresceu,"$649,866",37
Brunei,"$12,006.00","$14,006.00","$16,682.00","$15,095.00","$15,463.00","$16,007.00",16.66%,19.11%,-9.51%,2.44%,3.52%,6.44,108,Médio,0.01%,0.01%,→ Estável,"$4,001",75
Bulgaria,"$70,658.00","$84,477.00","$90,719.00","$102,434.00","$112,232.00","$117,007.00",19.56%,7.39%,12.91%,9.57%,4.25%,10.74,33,Alto,0.08%,0.10%,↑ Cresceu,"$46,349",59
Burkina Faso,"$17,837.00","$19,747.00","$19,588.00","$21,181.00","$23,975.00","$27,056.00",10.71%,-0.81%,8.13%,13.19%,12.85%,8.82,61,Médio,0.02%,0.02%,→ Estável,"$9,219",11
Burundi,"$3,089.00","$3,356.00","$3,922.00","$4,246.00","$4,743.00","$6,745.00",8.64%,16.87%,8.26%,11.71%,42.21%,17.54,7,Alto,0.00%,0.01%,↑ Cresceu,"$3,656",99
Cape Verde,"$1,831.00","$2,053.00","$2,309.00","$2,588.00","$2,726.00","$2,786.00",12.12%,12.47%,12.08%,5.33%,2.20%,8.84,59,Médio,0.00%,0.00%,→ Estável,$955,4
Cambodia,"$34,898.00","$36,797.00","$39,838.00","$43,304.00","$47,328.00","$49,799.00",5.44%,8.26%,8.70%,9.29%,5.22%,7.38,88,Médio,0.04%,0.04%,→ Estável,"$14,901",144
Cameroon,"$40,863.00","$45,036.00","$44,442.00","$49,283.00","$52,784.00","$56,011.00",10.21%,-1.32%,10.89%,7.10%,6.11%,6.6,105,Médio,0.05%,0.05%,→ Estável,"$15,148",140
Canada,"$1,655,685.00","$2,022,382.00","$2,190,411.00","$2,173,340.00","$2,241,253.00","$2,225,341.00",22.15%,8.31%,-0.78%,3.12%,-0.71%,6.42,109,Médio,1.93%,1.95%,↑ Cresceu,"$569,656",43
Central African Republic,"$2,389.00","$2,585.00","$2,460.00","$2,602.00","$2,831.00","$2,932.00",8.20%,-4.84%,5.77%,8.80%,3.57%,4.3,154,Baixo,0.00%,0.00%,→ Estável,$543,46
Chad,"$14,954.00","$16,881.00","$17,867.00","$18,343.00","$19,078.00","$18,792.00",12.89%,5.84%,2.66%,4.01%,-1.50%,4.78,148,Baixo,0.02%,0.02%,→ Estável,"$3,838",95
Chile,"$254,060.00","$315,411.00","$301,270.00","$335,627.00","$330,210.00","$343,823.00",24.15%,-4.48%,11.40%,-1.61%,4.12%,6.72,102,Médio,0.30%,0.30%,→ Estável,"$89,763",13
China,"$15,103,357.00","$18,190,803.00","$18,307,816.00","$18,270,351.00","$18,748,009.00","$19,231,705.00",20.44%,0.64%,-0.20%,2.61%,2.58%,5.22,136,Médio,17.60%,16.89%,↓ Caiu,"$4,128,348",73
Colombia,"$270,348.00","$318,525.00","$345,632.00","$366,292.00","$418,542.00","$427,766.00",17.82%,8.51%,5.98%,14.26%,2.20%,9.76,49,Médio,0.31%,0.38%,↑ Cresceu,"$157,418",137
Comoros,"$1,218.00","$1,273.00","$1,223.00","$1,335.00","$1,456.00","$1,548.00",4.52%,-3.93%,9.16%,9.06%,6.32%,5.03,143,Médio,0.00%,0.00%,→ Estável,$330,90
Democratic Republic of the Congo,"$49,613.00","$55,327.00","$63,324.00","$64,402.00","$71,011.00","$79,119.00",11.52%,14.45%,1.70%,10.26%,11.42%,9.87,46,Médio,0.06%,0.07%,↑ Cresceu,"$29,506",107
Republic of the Congo,"$11,485.00","$13,387.00","$13,967.00","$14,169.00","$14,893.00","$15,281.00",16.56%,4.33%,1.45%,5.11%,2.61%,6.01,121,Médio,0.01%,0.01%,→ Estável,"$3,796",96
Costa Rica,"$62,382.00","$64,954.00","$69,235.00","$86,509.00","$95,365.00","$102,591.00",4.12%,6.59%,24.95%,10.24%,7.58%,10.7,36,Alto,0.07%,0.09%,↑ Cresceu,"$40,209",69
Ivory Coast,"$63,119.00","$72,833.00","$71,075.00","$79,630.00","$87,096.00","$94,483.00",15.39%,-2.41%,12.04%,9.38%,8.48%,8.57,64,Médio,0.07%,0.08%,↑ Cresceu,"$31,364",93
Croatia,"$57,919.00","$69,055.00","$71,260.00","$84,416.00","$92,506.00","$98,951.00",19.23%,3.19%,18.46%,9.58%,6.97%,11.49,26,Alto,0.07%,0.09%,↑ Cresceu,"$41,032",67
Cyprus,"$25,535.00","$30,393.00","$31,001.00","$33,897.00","$36,156.00","$38,736.00",19.02%,2.00%,9.34%,6.66%,7.14%,8.83,60,Médio,0.03%,0.03%,→ Estável,"$13,201",152
Czech Republic,"$251,110.00","$290,973.00","$301,831.00","$343,207.00","$344,931.00","$360,244.00",15.87%,3.73%,13.71%,0.50%,4.44%,7.65,80,Médio,0.29%,0.32%,↑ Cresceu,"$109,134",166
Denmark,"$355,631.00","$408,378.00","$401,946.00","$407,092.00","$429,458.00","$449,940.00",14.83%,-1.58%,1.28%,5.49%,4.77%,4.96,145,Baixo,0.41%,0.40%,↓ Caiu,"$94,309",5
Djibouti,"$3,144.00","$3,393.00","$3,563.00","$3,917.00","$4,257.00","$4,587.00",7.92%,5.01%,9.94%,8.68%,7.75%,7.86,77,Médio,0.00%,0.00%,→ Estável,"$1,443",181
Dominica,$504.00,$555.00,$607.00,$654.00,$697.00,$742.00,10.12%,9.37%,7.74%,6.57%,6.46%,8.05,72,Médio,0.00%,0.00%,→ Estável,$238,114
Dominican Republic,"$78,625.00","$95,067.00","$113,813.00","$120,794.00","$124,613.00","$127,828.00",20.91%,19.72%,6.13%,3.16%,2.58%,10.5,38,Alto,0.09%,0.11%,↑ Cresceu,"$49,203",56
Ecuador,"$95,865.00","$107,179.00","$116,133.00","$121,147.00","$121,728.00","$125,677.00",11.80%,8.35%,4.32%,0.48%,3.24%,5.64,131,Médio,0.11%,0.11%,→ Estável,"$29,812",106
Egypt,"$382,525.00","$423,300.00","$475,231.00","$393,828.00","$383,109.00","$347,342.00",10.66%,12.27%,-17.13%,-2.72%,-9.34%,-1.25,175,Baixo,0.45%,0.31%,↓ Caiu,"$-35,183",189
El Salvador,"$24,921.00","$29,043.00","$31,989.00","$34,016.00","$35,337.00","$36,749.00",16.54%,10.14%,6.34%,3.88%,4.00%,8.18,69,Médio,0.03%,0.03%,→ Estável,"$11,828",163
Equatorial Guinea,"$9,908.00","$12,222.00","$13,717.00","$12,339.00","$12,544.00","$12,684.00",23.35%,12.23%,-10.05%,1.66%,1.12%,5.66,130,Médio,0.01%,0.01%,→ Estável,"$2,776",122
Eritrea,"$1,982.00","$1,982.00","$1,982.00","$1,982.00","$1,982.00","$1,982.00",0.00%,0.00%,0.00%,0.00%,0.00%,0.0,174,Baixo,0.00%,0.00%,→ Estável,$0,185
Estonia,"$31,795.00","$37,229.00","$38,406.00","$41,303.00","$42,752.00","$45,004.00",17.09%,3.16%,7.54%,3.51%,5.27%,7.31,90,Médio,0.04%,0.04%,→ Estável,"$13,209",151
Eswatini,"$3,984.00","$4,851.00","$4,791.00","$4,858.00","$5,199.00","$5,483.00",21.76%,-1.24%,1.40%,7.02%,5.46%,6.88,99,Médio,0.00%,0.00%,→ Estável,"$1,499",180
Ethiopia,"$96,611.00","$99,261.00","$118,958.00","$159,761.00","$143,123.00","$117,457.00",2.74%,19.84%,34.30%,-10.41%,-17.93%,5.71,128,Médio,0.11%,0.10%,↓ Caiu,"$20,846",120
Fiji,"$4,432.00","$4,305.00","$4,970.00","$5,442.00","$5,949.00","$6,257.00",-2.87%,15.45%,9.50%,9.32%,5.18%,7.31,90,Médio,0.01%,0.01%,→ Estável,"$1,825",174
Finland,"$269,784.00","$294,419.00","$280,474.00","$295,036.00","$298,833.00","$303,945.00",9.13%,-4.74%,5.19%,1.29%,1.71%,2.52,169,Baixo,0.31%,0.27%,↓ Caiu,"$34,161",89
France,"$2,645,806.00","$2,968,405.00","$2,797,049.00","$3,056,880.00","$3,162,023.00","$3,211,292.00",12.19%,-5.77%,9.29%,3.44%,1.56%,4.14,157,Baixo,3.08%,2.82%,↓ Caiu,"$565,486",44
Gabon,"$15,364.00","$19,455.00","$20,485.00","$20,059.00","$20,774.00","$20,391.00",26.63%,5.29%,-2.08%,3.56%,-1.84%,6.31,114,Médio,0.02%,0.02%,→ Estável,"$5,027",55
Gambia,"$1,809.00","$2,045.00","$2,135.00","$2,345.00","$2,558.00","$2,771.00",13.05%,4.40%,9.84%,9.08%,8.33%,8.94,57,Médio,0.00%,0.00%,→ Estável,$962,1
Georgia,"$16,013.00","$18,849.00","$24,985.00","$30,778.00","$33,775.00","$35,353.00",17.71%,32.55%,23.19%,9.74%,4.67%,17.57,6,Alto,0.02%,0.03%,↑ Cresceu,"$19,340",131
Germany,"$3,936,989.00","$4,351,188.00","$4,166,872.00","$4,527,009.00","$4,658,526.00","$4,744,804.00",10.52%,-4.24%,8.64%,2.91%,1.85%,3.94,159,Baixo,4.59%,4.17%,↓ Caiu,"$807,815",16
Ghana,"$70,008.00","$79,514.00","$73,919.00","$80,547.00","$82,825.00","$88,332.00",13.58%,-7.04%,8.97%,2.83%,6.65%,5.0,144,Médio,0.08%,0.08%,→ Estável,"$18,324",133
Greece,"$191,210.00","$218,449.00","$219,053.00","$243,569.00","$257,067.00","$267,348.00",14.25%,0.28%,11.19%,5.54%,4.00%,7.05,96,Médio,0.22%,0.23%,↑ Cresceu,"$76,138",24
Grenada,"$1,043.00","$1,123.00","$1,231.00","$1,325.00","$1,392.00","$1,464.00",7.67%,9.62%,7.64%,5.06%,5.17%,7.03,97,Médio,0.00%,0.00%,→ Estável,$421,65
Guatemala,"$77,718.00","$86,467.00","$95,631.00","$104,436.00","$112,575.00","$121,177.00",11.26%,10.60%,9.21%,7.79%,7.64%,9.3,54,Médio,0.09%,0.11%,↑ Cresceu,"$43,459",64
Guinea,"$14,089.00","$16,320.00","$19,589.00","$22,750.00","$25,758.00","$30,094.00",15.84%,20.03%,16.14%,13.22%,16.83%,16.41,9,Alto,0.02%,0.03%,↑ Cresceu,"$16,005",136
Guinea-Bissau,"$1,523.00","$1,722.00","$1,721.00","$2,005.00","$2,184.00","$2,274.00",13.07%,-0.06%,16.50%,8.93%,4.12%,8.51,66,Médio,0.00%,0.00%,→ Estável,$751,25
Guyana,"$5,471.00","$8,041.00","$14,718.00","$16,919.00","$24,659.00","$25,822.00",46.97%,83.04%,14.95%,45.75%,4.72%,39.09,1,Alto,0.01%,0.02%,↑ Cresceu,"$20,351",121
Haiti,"$14,508.00","$21,017.00","$19,826.00","$19,603.00","$26,229.00","$33,548.00",44.86%,-5.67%,-1.12%,33.80%,27.90%,19.96,4,Alto,0.02%,0.03%,↑ Cresceu,"$19,040",132
Honduras,"$23,190.00","$27,950.00","$31,233.00","$34,229.00","$36,965.00","$38,172.00",20.53%,11.75%,9.59%,7.99%,3.27%,10.62,37,Alto,0.03%,0.03%,→ Estável,"$14,982",143
Hong Kong,"$344,941.00","$368,954.00","$358,680.00","$381,066.00","$407,107.00","$423,999.00",6.96%,-2.78%,6.24%,6.83%,4.15%,4.28,155,Baixo,0.40%,0.37%,↓ Caiu,"$79,058",21
Hungary,"$158,468.00","$183,283.00","$178,321.00","$214,098.00","$223,060.00","$237,070.00",15.66%,-2.71%,20.06%,4.19%,6.28%,8.7,63,Médio,0.18%,0.21%,↑ Cresceu,"$78,602",22
Iceland,"$21,630.00","$25,770.00","$28,696.00","$31,452.00","$33,463.00","$35,309.00",19.14%,11.35%,9.60%,6.39%,5.52%,10.4,41,Alto,0.03%,0.03%,→ Estável,"$13,679",149
India,"$2,674,852.00","$3,167,271.00","$3,346,107.00","$3,638,490.00","$3,909,097.00","$4,187,017.00",18.41%,5.65%,8.74%,7.44%,7.11%,9.47,52,Médio,3.12%,3.68%,↑ Cresceu,"$1,512,165",179
Indonesia,"$1,059,055.00","$1,186,510.00","$1,319,101.00","$1,371,169.00","$1,396,300.00","$1,429,743.00",12.03%,11.17%,3.95%,1.83%,2.40%,6.28,115,Médio,1.23%,1.26%,↑ Cresceu,"$370,688",81
Iran,"$195,528.00","$289,294.00","$376,254.00","$372,820.00","$401,357.00","$341,013.00",47.96%,30.06%,-0.91%,7.65%,-15.03%,13.94,16,Alto,0.23%,0.30%,↑ Cresceu,"$145,485",141
Iraq,"$182,576.00","$210,753.00","$288,059.00","$270,799.00","$277,478.00","$258,020.00",15.43%,36.68%,-5.99%,2.47%,-7.01%,8.32,68,Médio,0.21%,0.23%,↑ Cresceu,"$75,444",26
Ireland,"$436,205.00","$531,660.00","$549,003.00","$551,554.00","$577,216.00","$598,840.00",21.88%,3.26%,0.46%,4.65%,3.75%,6.8,100,Médio,0.51%,0.53%,↑ Cresceu,"$162,635",135
Israel,"$410,771.00","$489,854.00","$525,183.00","$512,185.00","$540,381.00","$583,361.00",19.25%,7.21%,-2.47%,5.51%,7.95%,7.49,85,Médio,0.48%,0.51%,↑ Cresceu,"$172,590",134
Italy,"$1,905,956.00","$2,180,656.00","$2,105,722.00","$2,305,271.00","$2,372,059.00","$2,422,855.00",14.41%,-3.44%,9.48%,2.90%,2.14%,5.1,140,Médio,2.22%,2.13%,↓ Caiu,"$516,899",47
Jamaica,"$13,885.00","$14,674.00","$17,003.00","$19,315.00","$20,069.00","$21,411.00",5.68%,15.87%,13.60%,3.90%,6.69%,9.15,56,Médio,0.02%,0.02%,→ Estável,"$7,526",33
Japan,"$5,054,069.00","$5,039,148.00","$4,262,146.00","$4,213,167.00","$4,026,211.00","$4,186,431.00",-0.30%,-15.42%,-1.15%,-4.44%,3.98%,-3.46,181,Baixo,5.89%,3.68%,↓ Caiu,"$-867,638",186
Jordan,"$43,762.00","$46,362.00","$48,722.00","$51,161.00","$53,428.00","$56,102.00",5.94%,5.09%,5.01%,4.43%,5.00%,5.09,141,Médio,0.05%,0.05%,→ Estável,"$12,340",160
Kazakhstan,"$171,082.00","$197,112.00","$225,496.00","$261,840.00","$284,810.00","$300,538.00",15.21%,14.40%,16.12%,8.77%,5.52%,12.01,24,Alto,0.20%,0.26%,↑ Cresceu,"$129,456",155
Kenya,"$100,912.00","$109,875.00","$114,733.00","$108,747.00","$120,899.00","$131,673.00",8.88%,4.42%,-5.22%,11.17%,8.91%,5.63,132,Médio,0.12%,0.12%,→ Estável,"$30,761",94
Kiribati,$222.00,$285.00,$271.00,$289.00,$308.00,$312.00,28.38%,-4.91%,6.64%,6.57%,1.30%,7.6,82,Médio,0.00%,0.00%,→ Estável,$90,8
South Korea,"$1,744,456.00","$1,942,314.00","$1,799,363.00","$1,839,058.00","$1,869,714.00","$1,790,322.00",11.34%,-7.36%,2.21%,1.67%,-4.25%,0.72,173,Baixo,2.03%,1.57%,↓ Caiu,"$45,866",60
Kosovo,"$7,728.00","$9,418.00","$9,375.00","$10,470.00","$11,151.00","$11,274.00",21.87%,-0.46%,11.68%,6.50%,1.10%,8.14,71,Médio,0.01%,0.01%,→ Estável,"$3,546",101
Kuwait,"$111,048.00","$148,455.00","$183,977.00","$163,716.00","$158,568.00","$153,101.00",33.69%,23.93%,-11.01%,-3.14%,-3.45%,8.0,75,Médio,0.13%,0.13%,→ Estável,"$42,053",66
Kyrgyzstan,"$8,283.00","$9,256.00","$12,269.00","$15,187.00","$17,491.00","$19,849.00",11.75%,32.55%,23.78%,15.17%,13.48%,19.35,5,Alto,0.01%,0.02%,↑ Cresceu,"$11,566",164
Laos,"$18,511.00","$18,533.00","$15,121.00","$14,978.00","$15,879.00","$16,322.00",0.12%,-18.41%,-0.95%,6.02%,2.79%,-2.09,178,Baixo,0.02%,0.01%,↓ Caiu,"$-2,189",194
Latvia,"$33,353.00","$38,209.00","$38,045.00","$42,584.00","$43,508.00","$45,535.00",14.56%,-0.43%,11.93%,2.17%,4.66%,6.58,106,Médio,0.04%,0.04%,→ Estável,"$12,182",161
